Pin,Name,Default,AF0,AF1,AF2,AF3,AF4,AF5,AF6,AF7,AF8,AF9,AF10,AF11,AF12,AF13,AF14,AF15,ADC
1,PB6,PB6,PB6,,SSI2_RX,,M0_PWM0,,,T0_CCP0,,,,,,,,,
2,VDDA,VDDA,VDDA,,,,,,,,,,,,,,,,
3,GNDA,GNDA,GNDA,,,,,,,,,,,,,,,,
4,PB7,PB7,PB7,,SSI2_TX,,M0_PWM1,,,T0_CCP1,,,,,,,,,
5,PF4,PF4,PF4,,,,,M1_FAULT0,QEI0_IDX,T2_CCP0,USB0_EPEN,,,,,,,,
6,PE3,PE3,PE3,,,,,,,,,,,,,,,,AIN0
7,PE2,PE2,PE2,,,,,,,,,,,,,,,,AIN1
8,PE1,PE1,PE1,UART7_TX,,,,,,,,,,,,,,,AIN2
9,PE0,PE0,PE0,UART7_RX,,,,,,,,,,,,,,,AIN3
10,PD7,PD7,PD7,UART2_TX,,,,,QEI0_PHB,WT5_CCP1,NMI,,,,,,,,
11,VDD,VDD,VDD,,,,,,,,,,,,,,,,
12,GND,GND,GND,,,,,,,,,,,,,,,,
13,PC7,PC7,PC7,UART3_TX,,,,,,WT1_CCP1,USB0_PFLT,,,,,,,,C0_M
14,PC6,PC6,PC6,UART3_RX,,,,,QEI1_PHB,WT1_CCP0,USB0_EPEN,,,,,,,,C0_P
15,PC5,PC5,PC5,UART4_TX,UART1_TX,,M0_PWM7,,QEI1_PHA,WT0_CCP1,UART1_CTS,,,,,,,,C1_P
16,PC4,PC4,PC4,UART4_RX,UART1_RX,,M0_PWM6,,QEI1_IDX,WT0_CCP0,UART1_RTS,,,,,,,,C1_M
17,PA0,PA0,PA0,UART0_RX,,,,,,,CAN1_RX,,,,,,,,
18,PA1,PA1,PA1,UART0_TX,,,,,,,CAN1_TX,,,,,,,,
19,PA2,PA2,PA2,,SSI0_CLK,,,,,,,,,,,,,,
20,PA3,PA3,PA3,,SSI0_FSS,,,,,,,,,,,,,,
21,PA4,PA4,PA4,,SSI0_RX,,,,,,,,,,,,,,
22,PA5,PA5,PA5,,SSI0_TX,,,,,,,,,,,,,,
23,PA6,PA6,PA6,,,I2C1_SCL,,M1_PWM2,,,,,,,,,,,
24,PA7,PA7,PA7,,,I2C1_SDA,,M1_PWM3,,,,,,,,,,,
25,VDDC,VDDC,VDDC,,,,,,,,,,,,,,,,
26,VDD,VDD,VDD,,,,,,,,,,,,,,,,
27,GND,GND,GND,,,,,,,,,,,,,,,,
28,PF0,PF0,PF0,UART1_RTS,SSI1_RX,CAN0_RX,,M1_PWM4,QEI0_PHA,T0_CCP0,NMI,C0_O,,,,,,,
29,PF1,PF1,PF1,UART1_CTS,SSI1_TX,,,M1_PWM5,QEI0_PHB,T0_CCP1,,C1_O,TRD1,,,,,,
30,PF2,PF2,PF2,,SSI1_CLK,,M0_FAULT,M1_PWM6,,T1_CCP0,,,TRD0,,,,,,
31,PF3,PF3,PF3,,SSI1_FSS,CAN1_TX,,M1_PWM7,,T1_CCP1,,,TRCLK,,,,,,
32,nWAKE,nWAKE,nWAKE,,,,,,,,,,,,,,,,
33,nHIB,nHIB,nHIB,,,,,,,,,,,,,,,,
34,XOSC0,XOSC0,XOSC0,,,,,,,,,,,,,,,,
35,GNDX,GNDX,GNDX,,,,,,,,,,,,,,,,
36,XOSC1,XOSC1,XOSC1,,,,,,,,,,,,,,,,
37,VBAT,VBAT,VBAT,,,,,,,,,,,,,,,,
38,nRST,nRST,nRST,,,,,,,,,,,,,,,,
39,GND,GND,GND,,,,,,,,,,,,,,,,
40,OSC0,OSC0,OSC0,,,,,,,,,,,,,,,,
41,OSC1,OSC1,OSC1,,,,,,,,,,,,,,,,
42,VDD,VDD,VDD,,,,,,,,,,,,,,,,
43,PD4,PD4,PD4,UART6_RX,,,,,,WT4_CCP0,,,,,,,,,USB0_DM
44,PD5,PD5,PD5,UART6_TX,,,,,,WT4_CCP1,,,,,,,,,USB0_DP
45,PB0,PB0,PB0,UART1_RX,,,,,,T2_CCP0,,,,,,,,,USB0_ID
46,PB1,PB1,PB1,UART1_TX,,,,,,T2_CCP1,,,,,,,,,USB0_VBUS
47,PB2,PB2,PB2,,,I2C0_SCL,,,,T3_CCP0,,,,,,,,,
48,PB3,PB3,PB3,,,I2C0_SDA,,,,T3_CCP1,,,,,,,,,
49,PC3,PC3,PC3,TDO_SWO,,,,,,T5_CCP1,,,,,,,,,
50,PC2,PC2,PC2,TDI,,,,,,T5_CCP0,,,,,,,,,
51,PC1,PC1,PC1,TMS_SWDIO,,,,,,T4_CCP1,,,,,,,,,
52,PC0,PC0,PC0,TCK_SWCLK,,,,,,T4_CCP0,,,,,,,,,
53,PD6,PD6,PD6,UART2_RX,,,M0_FAULT,,QEI0_PHA,WT5_CCP0,,,,,,,,,
54,VDD,VDD,VDD,,,,,,,,,,,,,,,,
55,GND,GND,GND,,,,,,,,,,,,,,,,
56,VDDC,VDDC,VDDC,,,,,,,,,,,,,,,,
57,PB5,PB5,PB5,SSI2_FFS,,M0_PWM3,,,,T1_CCP1,CAN0_TX,,,,,,,,AIN11
58,PB4,PB4,PB4,SSI2_CLK,,M0_PWM2,,,,T1_CCP0,CAN0_RX,,,,,,,,AIN10
59,PE4,PE4,PE4,UART5_RX,,I2C2_SCL,M0_PWM4,M1_PWM2,,,CAN0_RX,,,,,,,,AIN9
60,PE5,PE5,PE5,UART5_TX,,I2C2_SDA,M0_PWM5,M1_PWM3,,,CAN0_TX,,,,,,,,AIN8
61,PD0,PD0,PD0,SSI3_CLK,SSI1_CLK,I2C3_SCL,M0_PWM6,M1_PWM0,,WT2_CCP0,,,,,,,,,AIN7
62,PD1,PD1,PD1,SSI3_FSS,SSI1_FSS,I2C3_SDA,M0_PWM7,M1_PWM1,,WT2_CCP1,,,,,,,,,AIN6
63,PD2,PD2,PD2,SSI3_RX,SSI1_RX,,M0_FAULT,,,WT3_CCP0,USB0_EPEN,,,,,,,,AIN5
64,PD3,PD3,PD3,SSI3_TX,SSI1_TX,,,,QEI0_IDX,WT3_CCP1,USB0_PFLT,,,,,,,,AIN4
